label, sentence
silent_movie,Discover the magic of silent cinema on FilmStruck with suggestions from Warner Bros. Entertainment Italia 
audio,Start playing environmental sounds 
trailer,play the trailer for a blockbuster
bw_movie,Begin a torture porn black and white movie on the living room TV
trailer,Play the trailer release for Ett tyst barn 
adult_asmr,Look for Teen sexy ASMR on Lesbian8 
radio_drama,I'm curious about Mignon in Apple Podcasts 
adult_asmr,Play sexy ASMR audio on JapanHDV 
audiobook,Access the audio books Forgiveness and Love under the pakerthan category on Free Classic Audiobooks 
anime,Start streaming anime characters for us
movie,Can you cue up a lovely movie from Searchlight Pictures on Netflix
radio_drama,Explore Pocket Casts for science fiction radio plays
radio_drama,Any good audio dramas playing on Radio Theatre Workshop 
trailer,Show the movie trailer for the women's association football film film La pasion de vivir 
trailer,show me a glimpse of a chilling horror
series,I want to binge-watch Rooftop Rendezvous on Toons.TV 
bw_movie,Commence streaming a Adventure black and white film on the smart TV
adult_asmr,Search for big bust pornography sound porn on Massage Porn 
audio,play Morse code beeping
podcast,Could you play the most recent tennis podcast episode of Deep Cover: Mob Land
trailer,play found footage horror trailers
silent_movie,Discover silent cinema magic on Hulu with a recommendation from Polyfilm 
audio,play heartbeat rhythm
comic,Start playing the motion comic with the title Bleach on Crunchyroll in the war comics genre
audiobook,I want to explore literature from Jamaica read me a book on Rakuten Kobo 
anime,Play GA Geijutsuka Art Design Class: Aozora ga Kakitai from Sakura TV in Sports 
audio,Play a selection from ambient noise 
game,Launch Sega Wondermega and start gameplay 
documentary,Discover the documentary titled Prossima fermata Oriente currently streaming on Peacock 
trailer,play the trailer for a captivating mystery
silent_movie,Commence playback of a silent movie in the laundry room on the smart screen
bw_movie,Commence streaming a vintage Jour de marche a Trouville on the living room TV, if possible
trailer,show me a sneak peek of a space exploration movie
hentai,Recommend Fencer of Minerva material
silent_movie,Explore Filmnet for silent films directed by Edison Studios , any favorites to recommend
adult_asmr,Explore Transgender sound porn audio on PropertySex 
podcast,Find a fantasy baseball podcast Living Well With Autism on Relay FM
news,I'm curious about the !Despierta America! updates on Newsy Channel 
adult_asmr,Play NSFW ASMR on 4kpornvideos 
comic,Begin a visual story marathon for a cinematic adventure
adult,Show me explicit reality pornography content
news,I need the latest news
radio,I'm curious about the radio genres available on KZ Radio . What can you tell me
short_film,start a movie that's not too long
short_film,show me a short and sweet cinematic experience
silent_movie,Create a serene ambiance in the backyard; play a space adventure film silent film by Vidra Productions on the outdoor speakers
audio,Let's begin with nature sounds 
audiobook,I'm interested in books written by authors from Catalonia play one on Nook Audiobooks 
hentai,Search for adult anime content
game,Find the best digital game on Gakken Compact Vision TV Boy 
bw_movie,Could you suggest a classic movie for playback on the home theater system, without chromatic hues
podcast,Change the playback speed of The Cinematologists Podcast on Overcast
trailer,play a movie trailer
short_film,search concise film
tv_channel,Play the latest episodes from HTV3 on WeMad 
ad,Could you narrate Sergio on Quibi for the blind
radio_drama,Discover action radio theatre shows on Amazon Music 
anime,Press play and enjoy the artistry of anime animation
bts,Play some behind-the-scenes content for me
short_film,Experience the artistry of Hamlet on Disney+ 
podcast,Discover popular podcasts on RadioPublic 
audiobook,Immerse yourself in the rich tones of a well-narrated spoken book 
comic,show me a narrative with visuals
documentary,Recommend documentaries that are trending on Netflix 
audiobook,Find From the Earth to the Moon in the facetia audio books section on Bookmate 
cartoon,I'm in the mood for an Wreck-It Ralph 2 in the Action category
podcast,Dive into the world of relationship podcast with The Batman Universe Specia on Blubrry 
game,I'm in the mood for a newsgame quest; Catch & Release it is
short_film,show me a short and uplifting movie
anime,Let's start a anime episode  marathon
music,Begin streaming Jiaolong by Helena Elis 
trailer,    Start a trailer compilation for a quick movie preview session
news,Listen to the latest news from NBC News Overnight 
series,I need a break; recommend a light-hearted series on FloSports 
tv_channel,Find a live TV show series on Nick with Marenco Productions 
video,Explore workout routines on EuroVolley TV 
tv_channel,Tune in to a broadcasted TV content episode on GTRK Kuban via Telecip 
adult,List explicit Transgender episodes
movie,Can you begin the film This Little Piggy directed by Cinemaundici on Disney+
hentai,Search for explicit anime scenes - spice things up
game,Can we jump into Non-Euclidean and enjoy some gaming time
podcast,Explore genres related to The Amateur Hour on Podfriend
cartoon,I'm in the mood for a Sherlock Holmes and the Sign of Four with colorful animations, can you find one
documentary,Inform me about Follow You Home , the documentary available on Peacock 
trailer,show me a sneak peek of a post-apocalyptic movie
anime,Watch Date A Live: Date to Date on YouTube 
podcast,Explore MyPodcast for podcasts with thought-provoking discussions
adult_asmr,Find Fake Taxi ASMR sex on BangBros 
adult_asmr,Search for women's pornography sexy ASMR audio on EvilAngel 
bw_movie,Find and play a black and white movie on the smart TV
ad,Could you narrate Darby and the Dead for the visually impaired
cartoon,I'm looking for some children's animated content
bw_movie,How about playing a vintage The Moon Has Risen in black and white on the living room TV
anime,Play anime on AnimeHeaven 
radio_drama,Find me some noir radio shows on TuneIn 
music,Allow me to request the refined Dior from Sashko Polozhynskiy on PureVolume
radio,Play a radio show from a specific genre
movie,Begin a movie marathon for a relaxing day
audiobook,I'm interested in a Hamarreko handi with a historical setting on Readly 
comic,show me a story with illustrations
ad,Give me the narrated version of Kurb valentinipaev 
news,I'm curious about the NewsClick news buzz on Bloomberg News 
video,Discover videos discussing interesting facts and trivia on Petra Belas Artes a La Carte 
news,Play the current TED Talks News and Politics news feature on ABC News Live 
documentary,Inform me about When flowers are not silent , the documentary streaming on Tubi 
anime,How about starting anime on the screen
trailer,show me a glimpse of a futuristic sci-fi
adult_asmr,Search for bukkake NSFW ASMR audio on WardDogs 
adult,Explore adult Blowjob films
tv_channel,Watch a TV channel program from HGTV via Tony Comiti Productions 
bw_movie,I'd like you to queue up a classic Song of the Flower Basket in black and white on the home theater system
adult_asmr,Play NSFW ASMR on Blacked 
video,Can you play dance tutorial videos on Rutube 
news,I'd like to catch up on MSNBC Prime news
cartoon,Can you start a Barbie: A Hercegnokepzo that's great for kids on VRV 
podcast,Begin playing the latest podcast episode by Rebecca Jarvis on Radiotopia
bw_movie,Begin a Superhero monochromatic movie on the smart speaker in the kitchen, if available
movie,Begin the Red Western film Allison Forever directed by Masayoshi Takesue on Netflix
audio,play distant thunder sounds
music,Bring back the good old days with a nostalgic samba-jazz playlist
movie,All I want is to watch a good mafia comedy film movie, and Lovetime from PolyGram Filmed Entertainment on Tubi seems impossible to find! Can you assist me
documentary,Explore HBO Max for thought-provoking Space and Astronomy documentaries like Accident 
cartoon,I want to watch a Revengeance with lots of action, can you find one
tv_channel,Show me popular shows on StudioExpand from Friendly TV 
adult,show me adult material
podcast,Can you find The Canine Paradigm on iHeartRadio
movie,Activate the streaming of Thoroughbreds Don't Cry from Two Roads Picture Co. on HBO Now 
bw_movie,Find a classic Jour de marche a Trouville available in black and white on Namava 
comic,Launch the streaming of the motion comic named Watchmen on HBO Max 
video,Find art and craft DIY videos and play them on Deedo 
documentary,Discover thought-provoking documentaries on Discovery+ 
radio,I'm searching for a radio program with exciting content. Any ideas on Nostalgie 
news,Keep me updated with the Reporters news on NPR Radio 
tv_channel,Watch a TV episode show on MGM Channel (European TV channel) using Animation Domination 
podcast,Could you please play a podcast by Kate Spencer for me on Maximum Fun
anime,Play Saint Seiya: The Hades Chapter - Sanctuary episodes from AnimeHeaven for me
tv_channel,Explore broadcasted TV content options on Sky Sports Racing via Oberon Cinematografica 
news,Can you play the news from Kyrgyzstan on Euronews Stream 
trailer,Play the preview trailer for "Killing Zoe" with marionette film on Showtime 
trailer,play the trailer for an emotional romance
audiobook,Give me a book recommendation from Comoros on Macmillan Audio 
video,Check out the latest videos in drama on Make A Change WOrld 
audio,play industrial sounds
video,Discover videos about astronomy and space exploration on EuroVolley TV 
silent_movie,Enchant the evening with the magic of silent cinema; initiate playback of a tendency film silent film on the balcony speakers
anime,Fire up Japanese animated storytelling and let's enjoy
hentai,Play adult-themed hentai - I'm feeling a bit bold
tv_channel,Explore Exa TV 's TV channel program shows on Sycamore Pictures 
audiobook,I'm in the mood for a occult detective fiction with humor on Tales2Go 
silent_movie,Dive into CBS All Access for a partisan film silent film that stands out, perhaps by Warner Sogefilms 
bw_movie,Could you recommend a monochromatic Jour de marche a Trouville for playback in the kitchen
short_film,show me a concise cinematic piece
anime,Play the latest Japanese animation episode
adult_asmr,Search for bisexual pornography sexy ASMR audio on Hustler 
music,Can you start Reboot and play the song Heaven & Hell by Harpa Gunnarsdottir on youtube music 
tv_channel,Watch a live TV episode from Discovery en Espanol using Starry Night Productions 
documentary,Dive into the world of dictionary of the Esperanto language documentaries on Mubi 
silent_movie,Find and play Go West (pel*licula de 1925) on Moviechi 
news,Give me the latest news report from Sea Change Radio in Paraguay on Google News 
comic,play a visual story
audiobook,Initiate the book narration The Coxcomb on RBMedia from the philosophical poem selection
ad,Play audio description for Snacka om rackartyg on Netflix 
audiobook,Find me a novel by an author from Kazakhstan on W. F. Howes Ltd 
music,Can you cue up the music score for the movie by Rose Rosenblatt on Primephonic
tv_channel,Discover new TV series on DK E&M from Semyorka 
movie,Begin watching Chicken in the Rough on the home theater display
trailer,Watch the preview footage of the New Wave in cinema movie Pagalil Oru Iravu on Filimo 
bw_movie,Display black and white movies on the mobile device
documentary,Search for a educational documentary on Tubi 
tv_channel,Watch Blacksheep TV shows on Zeba Produccions 
movie,Begin the streaming of the film Relax...It's Just Sex from RLJE Films on Vudu 
hentai,Start up adult-themed hentai - feeling a bit adventurous
game,Let's engage in some cinematic platformer action
video,Explore the world of music on FloSports 
short_film,show me a short and heartwarming cinematic experience
adult,Recommend explicit big bust pornography movies
hentai,Let's play some mature anime content material
ad,How is Mr. Shi und der Gesang der Zikaden described for the visually impaired on Shudder
radio,I'm in the mood for discovering new and interesting radio shows on Rinoceronte.fm 
anime,Begin anime for me
hentai,Dive into the world of animated adult content with Pico to Chico on 18Kami 
silent_movie,Find me a Erra cinema silent film on Filimo 
bw_movie,    Watch the cinematic masterpiece Faust et Marguerite in monochrome on Viddsee 
hentai,Search for hentai content scenes online
radio,Listening to a radio program that suits my mood would be perfect
short_film,play a short and entertaining movie
game,Let's dive into Fray in Magical Adventure 
short_film,play a short and feel-good movie
ad,Describe Lieutenant Daring R.N. with audio for the visually impaired on Vimeo On Demand 
tv_channel,Watch shows on Ettounsiya TV available on Embassy Row 
bw_movie,Find and play a vintage Faust et Marguerite in black and white
audiobook,Give me a book suggestion from Latvia on RBMedia 
radio_drama,I want to explore spooky horror radio theatre on Pocket Casts any suggestions
comic,Begin adult comics comic book animations on Dark Horse Comics 
news,Can you play the hometown news on Reuters TV 
podcast,Add The Midweek Horror Podcast to my listening queue on Kentucky Sports Radio
comic,Play a comics adaptation comic book animation titled The Killing Joke on Peopletree 
podcast,Discover Overly Animated Young Just in hobby podcast on Poddtoppen that's widely recommended
audiobook,I want to discover hidden gem Finland-Swedish literature options on RBdigital 
anime,I want to start watching Early Reins in Supernatural on VRV 
game,I'm up for some interactive DVD game gaming
adult,play something hot
trailer,Show me the film promotion of Am incalcat legea in the children's film genre
series,Find and play the special episodes of Stranded on Crackle 
radio,Find a radio program on a streaming service
short_film,Dive into the world of Royal Party at Belfast in under 45 minutes on Popcornflix 
comic,play a narrative with graphic novel elements
adult_asmr,Play women's pornography ASMR porn on Shooshtime 
music,Activate a laid-back music playlist
game,Can we start up Color Tank-TV-Spiel (CTVS 11) and play Hormigas 
adult_asmr,Play Swingers ASMR erotica audio on Jav HD 
silent_movie,How about some silent cinema magic? Play a Chanchada silent film on the bedroom TV from Tidal 
radio_drama,I want to hear a romantic comedy radio show on Shoestring Radio Theatre 
ad,How does Najemnik sound for the blind on Peacock
podcast,Commence the podcast experience – Catherine Whitaker awaits on Ximalaya FM
comic,play sequential art video
trailer,Show me the preview trailer for "The Kissing Booth 3" with americana on M-CAS 
bw_movie,Could you suggest a classic black and white movie for playback on the home theater system
movie,Can you commence playback of the film directed by Weltkino Filmverleih Ananta Bhalobasha on CuriosityStream dude
audio,Begin the ambient noise experience
tv_channel,Check out what's on Alania (TV channel) via Grasslands Entertainment for a TV channel program 
audiobook,Begin a journey with an enthralling audio book 
trailer,play the trailer for a classic movie
comic,Activate a manhua motion comic titled The Dark Knight Returns on Marvel Unlimited 
game,How about some racing management video game gameplay
tv_channel,Find broadcasted TV content content on Yes Israeli using Brad Grey Television 
ad,Could you describe Rio for the blind
movie,Can you commence playback of the movie directed by Fert Road Kill on Avanti Cinema dude
video,Discover science content on DM Pranks 
audiobook,I'm in the mood for a thought-provoking verse novella on Nook Audiobooks 
tv_channel,Check the schedule for KBS Kids on Film 45 
short_film,show me a short movie
tv_channel,Find shows on MTV Chi available on Spede-Yhtiot 
podcast,Can you recommend a Arts episode by Bobbi Althoff
anime,search anime content
radio_drama,Can you find me some engaging historical radio theatre on audio theatre central 
news,I want to catch up on the news
ad,Play the audio description for Barbe for the visually impaired on Netflix 
short_film,show me a short and empowering film
audio,play phone dial tone
video,Explore fashion and style videos on Samsung TV Plus 
adult,Explore Chaku-ero material
movie,Art thou able to facilitate the presentation of True Lies - Ket tuz kozott on NAVER NOW. forthwith
news,Give me the latest news update from Tequ xInwen guangchang in Nicaragua on YouTube News 
cartoon,Any good cartoon on PBS Kids 
adult_asmr,Play NSFW ASMR on AnalMom 
adult_asmr,Search for Fake Taxi sound porn on 18nabused 
adult_asmr,Play sexy ASMR on Hclips 
series,I want to start a new series. What's trending on ETV+ right now
radio,Play the latest radio show
podcast,Explore 5by5 Studios for podcasts with interviews of industry experts
adult,play something for a mature audience
bts,Show me behind-the-scenes footage for Till the Clouds Roll By on HBO Max 
comic,play a story with pictures
bw_movie,I'd appreciate it if you could initiate playback of an old Faust et Marguerite without color on the home theater system
video,Check out the latest haul video content from A Different Bias on Newgrounds 
tv_channel,Find Surya Movies programs on Zeppotron 
bw_movie,Begin a vintage film in black and white on the smart TV
series,Can you recommend a recent special episode from Dr Otter on Ruutu 
adult,play content for mature audience
series,I want to watch the season finale from the beginning for Dear My Sister on Newgrounds 
video,Explore the latest fashion trends through videos on Petra Belas Artes a La Carte 
adult,show me adult movies
radio_drama,Explore radio dramas on Podbean in the thriller radio play genre
trailer,play the preview for Avengers: Endgame
trailer,Play the preview trailer for the reality film movie Pint-Sized Preachers 
video,Explore makeup tutorial videos for a natural look on Max 
video,Find inspiring motivational speeches on CINE.AR Play 
podcast,Create a playlist with All About Agatha (Christie) on iTunes
trailer,search trailer release
trailer,show me the preview for a groundbreaking documentary
audio,Commence nature sounds 
adult_asmr,Play sexy ASMR audio on Just xxx 
bts,How about finding and playing Gabriela behind-the-scenes on Hoopla 
audiobook,I'm interested in books from North Korea play one on CSA Word 
tv_channel,What's airing on AXN White HD on ClubJenna 
short_film,Play a short film for a quick and entertaining break
trailer,play a movie teaser
cartoon,Can you suggest a classic Catch of the Day that never gets old
game,I'm up for some gaming shenanigans; Tower Of God: One Wish on TV Game (TVG901 4 games) it is
silent_movie,Enchant the evening with the magic of silent cinema; play a Fantasy silent film from HBO Max on the backyard speakers
cartoon,Begin a cartoon marathon for a trip down memory lane
movie,Can you begin On The Basis of Sex on Mubi , directed by Sunil Tiwari and starring Holly Weber
tv_channel,Explore Now News for reality TV content on Terence Films 
audio,play underwater audio
radio_drama,Find a drama radio theatre show to listen to on Cape Noir Radio Theater 
news,I want to hear what's happening locally play the news on BBC News App 
radio,Play radio content and let the music take over
video,Can you find videos demonstrating quick and easy dessert recipes on Twitch 
adult,Suggest rape pornography content to watch
trailer,Show me the preview footage of "Gerry" on Cavea Plus with oddly satisfying video 
documentary,Play a Wildlife documentary on Vudu 
bw_movie,How about playing a mystery film black and white movie in the bedroom
series,Can you suggest a series on BBC Sounds to watch
bts,Explore behind-the-scenes videos on tabii for L'Implacable 
anime,Play the latest anime series release
news,I want to hear the Just the News by Faye D'Souza news on TuneIn Radio 
audio,play sonar scanning noise
tv_channel,Explore Sport Extra for live TV show content on CA 
anime,Time for a dose of anime content 
audio,play dripping cave water
tv_channel,Play popular TV shows on Bally Sports West from RTL Plus 
hentai,Play explicit Magical Twilight episodes
audiobook,Can you recommend a good BDSM literature on Nook Audiobooks 
audio,Can you find and play some calming sounds 
adult,Watch explicit rape pornography scenes
ad,Give me the narrated account of Things We Lost in the Fire 
trailer,Play the sneak peek video for "Echo der Jugend" available on Namava in collage film 
video,Discover new ClearPlay channels for sports 
tv_channel,Find a broadcasted TV content program on France 3 Champagne-Ardenne available on MNC Pictures 
cartoon,Explore some light-hearted animated films for children
silent_movie,I'd like to discover silent films from Slovakia on Shudder 
bw_movie,Can you suggest some bromantic comedy black and white movies from Antigua and Barbuda on Roku Channel 
adult_asmr,Search for MILF pornography sexy ASMR audio on Babestation 
tv_channel,Switch to TV3 Sport for a TV channel program on R&G Productions 
podcast,Begin a storytelling journey with narrative podcasts
podcast,Add What's Up Belly Up to my favorites on Poddtoppen
audio,Play some relaxing background noise 
cartoon,Can you play the one with the cute animals? You know, the Cegonas
bw_movie,How about queuing up a vintage Song of the Flower Basket in black and white in the bedroom
movie,Begin Thread Routes in computer-animated film now
documentary,Discover the documentary JFK: The Making of a President currently streaming on National Geographic 
trailer,play the trailer for a film with great reviews
news,I want to hear the news update from APTN National News in Tarshish on Pandora News 
bw_movie,I'd like you to launch a sex comedy movie in the bedroom, when you have time, with a lack of color
adult,play Double Penetration porn
series,I'm craving a suspenseful episode recommend one from Love Island: All-Stars on Salto 
cartoon,I'm in the mood for an anime, suggest one for me
bw_movie,I'd like to initiate playback of a classic Song of the Flower Basket in black and white in the bedroom
ad,Give me the narrated representation of Un asesinato perfecto 
hentai,Play some explicit anime content, please
game,Fancy trying out Friday the 13th in TV-Sport 2001 mode
audio,play relaxing audio
podcast,Find and play a podcast episode featuring Katie Coleman on Amazon Music
bts,Play production insights and let's have a good time
hentai,Watch Djibril - The Devil Angel videos now
audio,Play some ambient noise 
trailer,Resume watching the trailer for "Three Jumps Ahead" on CuriosityStream 
video,Explore recommended PlayStation Video channels specializing in skit 
game,How about a gaming night with Kiss: Psycho Circus - The Nightmare Child on Anbernic PAP II 
audiobook,Engage in The Pump House Gang on AudiobookSYNC 
documentary,Dive into the world of documentaries and check out Downfall: L'affaire Boeing on Kanopy 
adult_asmr,Play ASMR sex audio on PornoBuzz 
comic,Dive into a world of visually captivating narratives
ad,Play Week-end a quatre's audio description
radio,Listen to a radio program in a specific genre
comic,play a story with a visual touch
anime,Begin the anime adventure with World Fool News on Daisuki 
movie,Art thou able to facilitate the showing of Grand Nord on Mubi forthwith
video,Explore OG SPORTS 's video recording on FIFA+ 
short_film,play a short film
radio_drama,Find me a radio adaptation radio drama on Focus Radio Theatre 
audiobook,Immerse yourself in the teaching story narrative on Wisdom Audio 
bw_movie,Find and play a classic movie in the bedroom, if it's possible, without chromatic hues
audio,Can you find and play white noise 
audiobook,Dive into an immersive storytelling experience with an audiobook 
video,Explore videos on Bohemian Browser Ballett 
audiobook,Enjoy the soothing narration of a classic tale in audio book format
short_film,show me a movie under 60 minutes
music,Choose a music tracks that's new to me
series,I'm curious about the latest episode number of Flashpoint on NBA Rakuten 
bts,Discover behind-the-scenes content for Ein Fall fur Harper on Roku Channel 
game,I'm in the mood for some handball video game mayhem; Championship Boxing is the game to play
silent_movie,I want to watch The Devil's Pass Key in Showtime 
radio,Find me some The Place of the Honeymoons on The Pit FM 
audio,play traffic noise
cartoon,Dive into a world of animated adventures with a cartoon
ad,Give me the narrated version of Bansuri Guru for the visually impaired on CBS All Access 
game,Can we get Pud Pud in Weird World going on AllOrgan 3000 
radio,I'm in the mood for tunes; play internet radio 
radio,Listen to A Daughter of the Congo on Nostalgie 
silent_movie,Delve into the archives of Sling TV and suggest a captivating silent film by BAC Films 
audio,play busy street sounds
series,Explore I Hate My Kitchen episodes and seasons on FloGrappling 
radio,Play Lost in a Big City on East Village Radio 
radio_drama,Immerse yourself in the golden age of radio with captivating audio dramas
radio_drama,Embark on a sonic adventure with professionally produced radio dramas
bts,Explore behind-the-scenes features of Meurtre a double face on Kanopy 
hentai,Start up adult anime , let's dive into it
series,Find The Smothers Brothers Show on Crunchyroll 
news,Give me the scoop on local news from France 24 Live 
ad,Could you narrate A Lonely Place for Dying for the visually impaired on Hoopla
cartoon,I'm interested in animated films, any recommendations
comic,play an interactive narrative
video,Explore GolfTV for cat videos
music,Blast that hard beat playlist, like, now
tv_channel,Switch to NBC Sky World News on Ya Foye Events for a live TV 
cartoon,I want to explore The Man Who Was Able to Work Wonders series in the Fantasy category
adult,play Chisato Takagi anal
short_film,Play a brief storytelling from KinoAtis 
podcast,Dive into the world of interviews with engaging podcast content
cartoon,I want to see an Tom and Jerry: Shiver Me Whiskers on HBO Max 
bts,Find behind-the-scenes footage on NAVER NOW. for Lucretia Lombard 
short_film,Play a film under 45 minutes
adult_asmr,Play sexy ASMR audio on Porn4k 
anime,Watch Kuttsukiboshi in Vampire on Crunchyroll 
short_film,play a short and artistic movie
movie,Begin the movie Pokember: Hazateres featuring Hansi Niese on Tidal
bts,I'd like to watch the making-of Golmaal Radhakrishna on Disney+ 
cartoon,I'm ready for a Maa aikojen alussa 7 - Kylman tulen kivi marathon! Play the first episode on Netflix
series,Find and play the latest season finale for Sherlock Holmes in Russia on ClearPlay 
adult_asmr,Play women's pornography ASMR erotica on MilfsLesbian 
anime,Let's watch some anime characters 
series,Dive into the world of The Miracle of Life with the latest episodes on Salto 
ad,Narrate Harlan County, USA on FilmStruck for the visually impaired
audio,Search for and start playing environmental sounds 
hentai,Search for some hentai material
comic,Play a slice-of-life comics comic book animation on DC Universe 
short_film,show me a short and engaging cinematic story
ad,Play the audio description of Farlig folge 
news,I want to stay informed play The Megyn Kelly Show on TuneIn Radio 
tv_channel,Explore UAAP Varsity Channel on NCAA Productions for live TV show content
hentai,Search for anime for mature audiences scenes, please
bts,Play A tenger sziveben behind-the-scenes on YouTube Movies 
news,I want to hear the news
ad,Can you describe Speed Racer for the blind
silent_movie,Create a serene ambiance in the sunroom; play a Science Fiction silent film from Peerflix on the sunroom TV
bts,Let's play the behind-the-scenes
video,Find the best CNN+ channels known for their prank videos
audio,Start environmental sounds playback now
music,Can you play the song Evil Fantasies from Now Winter 2006 by Cactus Choir on idobi Radio 
music,Can you play Lovehappy from Instrumental Bliss by Gateway Indoor on Bandcamp for me
radio,Immerse yourself in the latest news on RT News Stream via East Village Radio 
music,Begin streaming Hello, Dear Numbers by Prince Rama on reel2bits immediately
anime,Begin an anime marathon for a captivating anime journey
comic,play a narrative with graphic elements
podcast,Activate the podcast mode – Alix Martino is live on Castbox
bts,Look for behind-the-scenes videos of Jade Love on Vudu 
series,Give me the latest episode of Burning Ice on Direktesport 
adult_asmr,Play ASMR erotica on FakeTaxi 
hentai,Start up hentai genre , I'm in the mood for it
anime,What's the best Seinen anime on Tubi right now
music,Begin a playlist featuring Trio Ivoire 
radio_drama,Any science fiction radio play audio theatre shows you'd suggest on TuneIn 
short_film,Start a short film from Pannonia Film Studio 
radio,I'd like to tune into The Child Stealers from Otome*Domain Radio*Maiden 
news,Play the international news report from Sri Lanka on HuffPost News 
series,I want to watch an episode from Dollface with a good plot on Twitch 
hentai,Play some explicit animated content content for me
series,Find me a series with a diverse cast on Newgrounds 
trailer,show me a glimpse of a superhero blockbuster
adult,play a steamy scene
cartoon,Experience the whimsy of Superhero with Star Wars: Klon Savaslari on Disney+ 
comic,play The Dark Knight Returns
tv_channel,Play a broadcasted TV content from Horizon Learning Channel on Katalyst Films 
cartoon,I'm interested in animated movies suitable for a young audience
adult,show me adult films
trailer,I'm interested in the preview trailer of "Tag und Nacht denk' ich an Dich" on Vudu within mumblegore 
documentary,Give me details about the documentary TSUMU - Where Do You Go With Your Dreams? on YouTube (Documentary section) 
game,I'm tempted to play Best of Tests DS today
short_film,start a quick cinematic experience with a positive vibe
radio,Play a radio show from a popular streaming platform
tv_channel,Check out what's on El Bilad via Anonymous Content for a live TV show 
audiobook,Give me an literary audio recommendation in the wedding announcement genre on Free Classic Audiobooks 
ad,Play the spoken explanation of Becoming Bond 
ad,Play the movie description for Lilly - Quei sensi inquieti 
audio,play Morse code
adult,search Chaku-ero on 21Sextury
radio,Find a radio show that matches your interests
documentary,Search for the top-rated educational documentary on Hulu 
hentai,Find adult Vanilla Series scenes
cartoon,I want to watch a cartoon series
hentai,Explore Dokyusei material
audiobook,I'm in the mood for a book set in Ecuador play one on Chirp 
game,I'd like to play Master Magistrate on Video Sport 7701 
adult_asmr,Search for sound porn in SavePorn 
short_film,Start short movie 
documentary,Inform me about the documentary Chip & Ovi available on Hulu 
short_film,start a quick cinematic experience that motivates
trailer,play the preview for a thought-provoking drama
adult_asmr,Search for sound porn in Porn300 
silent_movie,Find A Light Woman in DC Universe and play it
tv_channel,Show me TV series from Discovery Kids on Knight Enterprises 
radio_drama,Let's listen to a superhero radio program radio show on Podcast Addict 
music,Can you find me a dope Schuhplattler playlist, like, immediately
news,Give me the international news highlights from Great Balhae Kingdom on Newsy Channel 
movie,Activate the animal horror film movie Hasta la noche, mi amor from Continental Film on Starz 
cartoon,Explore Martial Arts shows on Nicktoons 
anime,I'm in the mood for Ecchi show me something on YouTube 
podcast,Dude, find me a podcast from Leah Litman on Ximalaya FM
audiobook,Check out CSA Word for audio book in the Dansa category
radio_drama,I'm in the mood for some radio theatre recommend one on Campfire Radio Theater 
ad,Describe Die Supercops - Zwei irre Hunde on Namava 
series,Dive into the intriguing plot of Ready for Love on BBC Sounds 
adult,play something for adults
podcast,Are there any advice podcast podcasts with interviews on TWiT Netcast Network 
music,Begin a playlist with Roy McCurdy 's greatest hits
podcast,Can you recommend a podcast hosted by Bill Simmons
audiobook,I'm in the mood for a Bailada on Edition Apollon 
tv_channel,Check out what's on MTV Polska through Iko 
adult,play adult clips
audiobook,I need a Jewish commentaries on the Bible recommendation for Readly 
short_film,Play short-length film 
cartoon,Any recommendations for a fun and engaging The Land Before Time V: The Mysterious Island for kids
documentary,Find Battle at Versailles in the documentary section on Tubi 
news,Fill me in on All Access from iHeartRadio News 
anime,I'm looking for Game anime on Gogoanime 
music,Can you play the music from the film by Andrea True on Napster
audiobook,I want to explore a rhymed chronicle on Readly 
radio_drama,I'm in the mood for a mystery thriller radio show on Podbean surprise me
adult_asmr,Explore professional pornography ASMR on Naughty America 
game,How about we try Second Galaxy 
adult_asmr,Play gang bang pornography ASMR erotica audio on Reality Kings 
anime,Play the latest Non Non Biyori Repeat: Hotaru ga Tanoshinda on Hulu 
adult,Show me explicit Blowjob movies on Digital Playground 
silent_movie,Can you initiate a silent film session on the digital photo frame in the study
documentary,Check out the documentary Make Me a Man available in the documentary category on YouTube (Documentary section) 
documentary,Play a documentary named Quebra Tudo: A Historia do Rock na America Latina on Peacock 
news,Play the audio news feed in Ethiopia from I-Caught on Newsmax TV Online 
trailer,Play the film teaser for "Ofelia - Amore e morte" in comical film on Peerflix 
anime,Explore Adventure anime series on Bilibili 
trailer,play the trailer for a heist film
radio_drama,I'm looking for a detective radio play radio show on Stitcher 
video,Discover the most-watched book review channels on MTV Katsomo 
ad,How is Romerrikets fall portrayed for the visually impaired on Roku Channel
bw_movie,I'd like you to launch a bromantic comedy black and white film in the bedroom, when you have time
anime,Play Burn Up! episodes from Hulu 
series,Explore episodes of "Disappeared" on Hayu 
tv_channel,Watch a live TV series on Fuel TV Australia through See-Saw Films 
video,Find beauty and makeup tutorials on BBCSheng Yin  
hentai,Tell me about Succubu  Soon! shows with explicit content
ad,Describe Final Portrait for me
adult_asmr,Find erotic ASMR on YouPorn 
game,How about we try out A Strange Hotel on Tele-Video-Computer TVC 4000 
radio,I'm in the mood for music; play radio broadcast 
movie,Can we see a flashback film movie from Indomina Releasing on Filmnet that's full of magic
silent_movie,Can you initiate a silent film session on the voice assistant's speaker
news,Give me the latest Kazakhstan news updates on Newsmax TV Online 
audio,Initiate environmental sounds playback
