label, sentence
movie,Can we watch the movie Just a Fling on Vimeo On Demand
bts,start a video on film production techniques
radio_drama,I want to explore dramatic romance radio theatre on Audioboom any suggestions
audiobook,I want to listen to an political memoir on Chirp 
music,Man, play that power ballads on NetEase Cloud Music, it's cool
audio,play construction site ambiance
anime,Play Cardcaptor Sakura: Clear Card Arc Prologue: Sakura and the Two Bears from Anime-Planet 
movie,Can you play the funny movie from GD Studio on Quibi
radio_drama,Play the audio drama series by FinalRune Productions
music,start a metal music session
video,play a how-to video
music,Could you please start the lovely Bang Bang from Perico Sambeat on VK Music
news,Play the current The Frontline news on Deutsche Welle News 
music,I've been exploring Pornogrind more, and Guillermo Buitrago 's The Germ is a standout for me
radio,What are the popular radio genres on ROXI 
radio_drama,Plunge into the captivating stories of The Last by Wireless Theatre Company on Castbox 
music,I'd like to hear the song Big Splash from the album Highway 101 - Greatest Hits by Baldassare Pistorini 
audio,start footsteps on sand
cartoon,Play a random cartoon from the Slice of Life genre
comic,start a narrative with visuals
music,Commence playing Psykologi by M.O.S.A.D. off L'allieva on JioSaavn 
silent_movie,Play a crime film silent film on Kanopy by Napali Video in the greenhouse
music,Recommend a playlist on QQ Music for intelligent dance music 
podcast,play a podcast episode
movie,My good sir, might I humbly request the cinematic experience of They Came from the Swamp: The Films of William Grefe directed by FilmCow within the Cinepoetry category on Youtube Movies
movie,Commence playback of the movie Masterskapet with Margaret Ehrlich directed by Al Festa on Moviechi 
news,what's the news source series
bw_movie,Play a matatabi eiga classic in black and white on the living room TV
comic,start an immersive visual journey
movie,Play the film Forza d'urto 2 on Showtime, trust me, it's worth it
audio,Search for spoken comedy audio recording on Tan Sri Dr. Abdullah Sanusi Digital Library and suggest a playlist
music,play the best of political punk
silent_movie,Let's explore the world of silent films on the rooftop; play a Kannywood silent film from Maison 4:3 on the rooftop projector
radio_drama,I'm in the mood for a good audio theatre show on Youtube 
video,Show me popular Periscope channels that create history content
music,Hook me up with the latest track from Armchair Martian
movie,Check out La tasalni man ana from 20th Century Studios on Quibi – it's, like, epic
bw_movie,Begin a metacinema black and white movie on NAVER NOW. 
podcast,Suggest podcasts that are perfect for a study session on physics on MyMusic 
movie,Execute the command to play Viidakon paholainen from Warner Brothers Burbank Studios on Disney+
comic,Kick off playback of a erotic comic motion comic on Mangamo named Spider-Man: The Night Gwen Stacy Died 
cartoon,Can you play a Chill Out, Scooby-Doo! that's great for kids like me
audio,List children's literature audio recording and play something for me on University of Maiduguri Library 
series,Tell me about the fan theories surrounding The Salt-N-Pepa Show on Rutube 
documentary,search Food and Cuisine
movie,Check if Time Bomb by Filmske novosti is available on Namava
movie,Play the superhero movie by Sinisa Ivetici on Filimo
radio_drama,Embark on a sonic adventure with professionally produced radio dramas
adult,watch Babes
bw_movie,How about playing a guerrilla filmmaking black and white movie in the bedroom
music,start a O S T I never heard before
adult,play Victoria Lanz porn
documentary,What's Exploration about
music,Revel in sounds akin to Simon Schuettel on Telmore Musik 
documentary,What's the latest on True Crime 
radio_drama,Explore audio dramas on CBS Radio Mystery Theatre in the action genre
game,play Portal (o`yin) game
silent_movie,Play classic silent films from Mexico on FandangoNOW 
comic,play a graphic novel-style story
cartoon,What's a hidden gem among Patlabor 2: The Movie series on Hulu 
bw_movie,Stream a women in prison film black and white movie on the smart TV
movie,Start the European art cinema film Wstrzasy 5: Wiezy krwi on Youtube Movies directed by Daniel Sivan and featuring Richard Leduc
movie,Play the film Trokadero by Sfinks on Tidal, if you will
movie,Begin the Findie film Submarine Seahawk with Matthias Zelic on Vimeo On Demand
movie,Play the film The Black Ace on HBO Max, it's, like, epic
news,Get me the news highlights in The Bahamas from TruthSoci on Bloomberg News 
podcast,Look for Baby Geniuses on Welsh Newspapers Online and play it
music,Allow me to request the refined Mannschaft by Benny Goodman and His Orchestra on Deezer
podcast,listen to podcasts for kids
ad,Give me the narrated interpretation of The Slaver on Kanopy 
bw_movie,start an old-school black and white motion picture
cartoon,Start a cartoon episode for me
music,I've been exploring The Quireboys 's musical journey, and Loi is a standout piece
movie,Could you find a movie directed by Giuseppe Di Martino , perhaps one in the Industrial video category and on Exxen
trailer,Play the preview trailer of the satirical film or television program film Sept Ans de seduction 
silent_movie,Commence playback of a silent movie on the rooftop speakers
audio,play windy cave sounds
cartoon,show me a cartoon character's adventures
music,Give me information about dance-rock and initiate playback
music,start a playlist by Veronika Nizlova
short_film,start a short and visually stunning film
short_film,show me a short and heartwarming cinematic experience
audio,Play a bit of sound effects 
cartoon,Play some cartoon series episode content
series,What's the most recent episode of The Miracle of Teddy Bear on Crackle 
cartoon,show me a cartoon with timeless appeal
cartoon,show me a cartoon episode that promotes teamwork
music,play a random track from Sita saa mita tilaa
cartoon,Which Kersantti Stubby: erilainen sankari series is suitable for children on Ameba 
trailer,start the trailer for a gripping crime thriller
audio,start footsteps on gravel
game,Search and start playing console game on Commander 
hentai,start hentai playback
video,Explore videos with tips for improving productivity on Amazon Freevee 
news,I want to hear the latest from 60Fen Zhong II on Reuters TV 
audiobook,Continue the fantasy audio books series El agua es para lavarse on Hummingbird Digital Media 
radio_drama,Suggest an fantasy audio theatre program on Google Podcasts that I might enjoy
news,What's the latest Meet the Press news feature on TuneIn Radio 
news,What's the latest with the international news from Comoros on Reuters TV 
music,Play some of Denise Stoudemire 's most popular tracks
movie,Tell me about the fiction film film called Campus Ampasayya available on the computer
audiobook,Play a book from Antigua and Barbuda on Hachette Audio UK 
documentary,Suggest ELLEGARDEN : Lost & Found on Biblioteka Wirtualna Nauki and tell me why
music,Initiate a song
movie,Perchance, could you start the Goona-goona epic movie World Trade Opera on Avanti Cinema at your earliest convenience
movie,Start the Chanchada film The Colorado Trail on CuriosityStream 
movie,start a critically acclaimed film
trailer,show me the teaser for a thriller
short_film,Watch A Drunkard's Reformation on GoUSA TV
hentai,Recommend Another Lady Innocent on Oxford Reference Library and play it for me
silent_movie,Sift through the silent film collection on Vudu for hidden treasures from M. Pathe 
music,Give me the music from the film Pepper Steak 
music,Mint Green just released a new song, Den Breiale Stilen , and I think it's fantastic
adult,start women's pornography porn
short_film,show me a concise film with a positive and empowering message
game,I've been wanting to play Captain Tsubasa: Dream Team lately, let's do it
movie,Embark on the cinematic journey of The Town of Headcounts in the social comedy film category on Vudu 
cartoon,Watch Rocky and Bullwinkle series on Disney+ 
video,watch a science experiment video
adult,show me explicit movies
cartoon,play an animated film
music,Commence playback of Keep Da O's by Karen Knowles from the album In a Sentimental Mood on YouTube Music 
trailer,start a preview for an adventure film
series,Inform me about any special episodes in the current season of Jenny e Chachi on Myfidelio 
movie,I'm looking for a tendency film film starring Lena Reichmuth from Rolfe Photoplays on Sling TV
music,Inform me about dawns amgen on Michigan Service Hub and recommend something
radio_drama,Start theatrical audio on Pocket Casts
news,start a news station
video,Find the latest history series on Radio Javan 
cartoon,Recommend Balto II: Wilcza wyprawa series available on Boomerang 
music,Play the Ultra! Ultra! album by Jelly Fujio on tidal immediately
silent_movie,Find a non-talking picture to watch
music,Let's play Obra simfonica. Vol. 2 by Maiya The Don in NetEase Cloud Music 
music,Give me a surprise music track
music,Choose a new and unfamiliar concert 
documentary,Inform me about the documentary Sevilla City available on Google Play Movies & TV 
comic,Start playback of motion comics in the manhua genre on Scribd 
music,Play the charming Breathe from Michael Burrows on Primephonic, dearie
trailer,play the trailer for a blockbuster
music,Play whatever, I'm open to anything
movie,Put on that movie with Paul McIver on CBS All Access 
podcast,Find comedy podcasts on Audiomatic for a good laugh
hentai,Explore Pico to Chico on Kujawsko-Pomorska Digital Library and initiate playback
documentary,start documentary on famous events
audiobook,Give me a book from Ivory Coast to enjoy on Chirp 
movie,Hook me up with a flick from Bulldog Film Distribution – how about Hid Terabithia foldjere
podcast,Play a random episode from podcast series 
podcast,start crypto and blockchain podcast
movie,Find Sadhu Aur Shaitaan in the home theater movie collection
movie,Search for Doktor Strangelove, czyli jak przestalem sie martwic i pokochalem bombe by Succefilm on Exxen, hurry up
movie,Seriously, why is it so complicated to cue up Buddhanin Sirippu in the blue film category on Youtube TV
bw_movie,Find and play an old Faust et Marguerite on the living room TV, whenever you get a chance
movie,Can you play a movie directed by Subhash Sehgal known for their unique storytelling on Mubi
bw_movie,Can you suggest some LGBT pornography black and white movies from Peru on Crave 
radio,listen to sports radio
hentai,start hentai videos online
music,What's the latest on teknika mortmetalroko ? Play it on Virtual Library of the Principality of Asturias 
ad,Narrate Rasputin, Demon with Women on Paramount+ 
documentary,I enjoy content related to It's Always Been Me on BAM-Portal 
hentai,start adult animated films
silent_movie,play a film from the early days of cinema
audiobook,Play an conte fantastique with positive reviews on Storytel 
movie,play a movie from B&H Film Distribution Company known for its cinematography on DC Universe 
anime,Fire up anime for some animated fun
cartoon,Which Barbie Mariposa es a Tunderhercegno is suitable for all ages
podcast,Play an informative podcast episode for learning
audiobook,Queue up the audiobooks Evidence-Based Orthopedics from the shijia section on BBC Audiobooks 
podcast,Explore Spotify for Podcasters for podcasts about technology
trailer,Play the film teaser for "Sitting Target" in medieval film on Moviechi 
news,I need the latest Teen Kids News news buzz on Pandora News 
podcast,Suggest La Encerrona on Digital Library of South Dakota and tell me why
movie,I don't get why it's so complicated—just play Saved From The Torrents on Apple TV+ already
podcast,Play episodes from Off The Rails Podcast that were released this month on Pocket Casts 
video,I'm in the mood for prank show me what's on Thugesh 
music,Put on a requested song
movie,Play the latest movie on Netflix 
video,Play travel vlog videos from MostAmazingTop10 
audiobook,Read a book by Peru author on Blackstone Audio 
silent_movie,In the home gym, let's mix it up; play a motivating silent film by Terra de Punt on the gym TV
news,play news commentary
hentai,I enjoy content related to Slut Girl on BAM-Portal 
music,Let's play the Forever True - 1991-2001 album by Irma Dorantes in idobi Radio now
music,start a playlist with love songs
game,I'm in the mood for some paddle-and-ball video game mayhem; Cartoonway : Mini Cars is the game to play
bts,I'm interested in exploring and watching behind-the-scenes content for Random Hearts on FilmStruck 
movie,Play Dla ciebie wszystko on the home theater
music,Play music by Bradio 
tv_channel,Discover Willow Cricket 's TV episode content on Rabbit Films 
bts,Tell me about behind-the-scenes content on Tidal for Slaven in opstand 
music,Find me something good from tune 
audiobook,start an audio version of Dear Ijeawele, or A Feminists Manifesto in Fifteen Suggestions
music,Start streaming greatest hits 
video,Find travel destination guides on Facebook 
radio_drama,Tell me about Hello Tomorrow
music,I'm curious if you've come across Ali Harter 's Chimeras . The track Stud has been on my playlist for a while
movie,Watch For Better, for Worse from the TV
music,Randomly select a song and play it
comic,start a visually engaging story
cartoon,Start the The Ape Star with the catchy theme song – it's so much fun
movie,I want to watch a movie in the Z movie category. How about Filem Sherlock Holmes on Crave
game,Time to play Lights Off 
movie,I want to watch X-Men : L'Affrontement final
news,Play the BBC Breakfast news briefing on BBC News App 
music,Start a playlist with Brandon Paris Band 's top songs
podcast,Recommend Islamic podcast on BEIC Digital Library
music,Play a track
podcast,Recommend some podcasts that discuss environmental issues on Audiojunkie 
movie,I want to watch a movie from the propaganda film genre
movie,Cue up a movie from Barton Films on Shudder
movie,Watch Don't Play Us Cheap on Kemi adetiba visuals by Babelsberg Studio, it's a great way to relax
series,Search for the top-rated web series episode 
tv_channel,Watch shows on La Red (Uruguay) available on The Bottle Yard Studios 
podcast,Play the most recent episode of a business podcast on iHeartRadio 
bts,Dive into the world of filmmaking with behind-the-scenes footage
audiobook,Check out Audiobooks.net for audio novel in the Gospel harmony category
radio,start radio station for travel tips
short_film,Dive into a world of bite-sized stories with short films
tv_channel,Show me the best TV series on Dog Fish Films 
silent_movie,Enchant the evening with the magic of silent cinema; play a Fantasy silent film from Sling TV on the backyard speakers
video,Play technology reviews from NerdECrafter 
movie,List collage film movies available on Netflix 
music,Listen to The Upper Manhattan Jazz Society by Ahmad Al Ghazali on napster 
movie,May I kindly inquire about the possibility of streaming the esteemed Sekaisin rakkaudesta in the neon noir category from Seven Films on Peacock
movie,Can you start Edward, My Son from Merton Park Studios on Hulu for me
video,play a nature video
music,Celebrate the artistry of your favorite musicians through a seamless music streaming session
radio_drama,Suggest something similar to mystery on Digital Library of india
movie,Play the film Snow Dogs - 8 cani sotto zero on M-CAS from Albuquerque Studios, it's a work of genius
video,watch a video on art and design
movie,Commence playback of a movie from Savoy Pictures directed by Ferdinando Maria Poggioli on Amazon Prime Video
music,Play a crowd-pleaser
game,I'm thinking of delving into The Exodus , care to join me
series,Can you recommend a must-watch series on Crunchyroll 
trailer,play the trailer for a comedy film
movie,Cue up Una cavalla tutta nuda directed by Hans-Christian Schmid and starring Erika Gesell 
ad,Play the spoken rendition of Young Lady Chatterley for the blind on Hulu 
audiobook,Play a book by an author hailing from Gabon on BorrowBox 
music,Play some soundtrack
movie,Initiate CODA in the home theater from Crave 
cartoon,What are some good Science Fiction series on Toon Goggles 
movie,play a movie with a strong female lead
podcast,Inform me about bomBARDed - A Musical Dungeons & Dragons Adventure
short_film,play a short and sweet movie
movie,Watch Take The Cue Train from Youtube TV 
music,Turn on a music playlist
anime,Begin the anime adventure with Akuemon on Masterani 
series,Search for the top-rated Hatch's Mill episodes on Motor Trend OnDemand 
movie,Could you please help me find a movie with Otto Sander in it on Shudder
music,Discover Gold Mind Records 's collection of timeless progressyf house on SoundCloud 
music,Play a cherished track
ad,Describe The Battle of Wills for me on Netflix 
documentary,play documentaries on unsolved mysteries
adult,play something for grown-ups
podcast,play a podcast on social justice
silent_movie,Start a silent film from WAVVE on Paramount+ in the art room
music,Choose a tune I've never explored
movie,List movies in the samurai cinema genre, including Med glodende bly , on the laptop
hentai,Give me details about Muramata-san's Secret on Welsh Journals and initiate playback
music,Play some tunes from a playlist
silent_movie,Let's explore the world of silent films in the playroom; play a Satire silent film from Youtube Movies on the playroom TV
radio_drama,Search for Steins;Gate Drama CD Alpha, Beta, and Gamma on Korean Studies Digital Archive and initiate playback
movie,Hey, check if He's Not The Walking Kind is on Google Play Movies & TV . It's directed by Deiniol Morris and has Marion Shilling 
video,play a travel video
bts,show me movie making tips
music,Play When Empires Burn in its entirety by Kiemsa on KakaoMusic from X-terminator 
video,I'm interested in gaming walkthrough show me
movie,Stop messing around and play a movie from CreaSyn Studio directed by Antoine Waked 
hentai,show me hentai clips
game,Time to play digital game on Telejeu SD-043 
movie,suggest a movie in the torture porn category with high ratings on FilmStruck 
movie,I don't care about your film studio knowledge; just tell me if Atraccio fatal is available on Exxen
cartoon,play a cartoon for children
radio_drama,Find me some interesting radio theatre shows on Audioboom 
music,play a specific music genre
bw_movie,Play a classic black and white movie from VCA Pictures 
movie,Can you play the romantic movie by Bob Saget on Tidal
cartoon,Show me A-Haunting We Will Go episodes on Disney+ 
movie,Can you find a fun film in the Musical category on Mubi
video,Find sega walkthrough videos on Ray Du English 
audiobook,Engage in The Skin Trade on Nook Audiobooks 
audiobook,Press play to enjoy a captivating narration
hentai,play hentai episodes
bw_movie,I'm interested in launching a kitchen sink drama black and white film on the smart speaker
movie,I heard there's a great movie in the giallo category by Assouma Adjike with Adrienne Hill on Showtime
music,start a country music playlist
adult,view I'm Putting All My Stored Up Sperm ...
documentary,I love documentary
music,play a song to inspire
silent_movie,Can you unearth a silent masterpiece from The Ormond Organization on Youtube TV 
podcast,Find something similar to eGovernment Podcast and play it on Mikanda Network
series,Tell me about the latest episodes of Unprincipled on Crackle 
radio,listen to radio for relaxation
music,start a folk music session
video,Find the newest content from hunter1s1k 
podcast,play a podcast about nature
series,Play the most recent episode from tv show 
hentai,Tell me about El material on HentaiPornTube 
movie,Play a film directed by George Sluizer with Abdollah Boutimar on Crave
documentary,Initiate playback of Science Friction on Odia Bibhaba 
cartoon,Watch Die Abenteuer von Ichabod und Taddaus Krote on CNN+ and start playback
video,I want to watch podcast on Paramount+ with Showtime 
movie,Start streaming the rubble film film La suplente directed by Malay Choeung Kim with Milli Wilkinson in the cast
silent_movie,I want to see a classic non-talking picture 
movie,Start the diskbanksrealism movie Runaway Train on Prime Fight Play 
radio,I'm looking for radio shows with diverse genres. Any suggestions for Radio 357 
movie,Could you please initiate playback of the esteemed film Flaming Frontiers directed by Immagine e Cinema on Netflix
music,Listen to the enchanting The Cursed Clock by Jazz Composers Workshop on Yandex Music, my love
documentary,Find Secrets of Blackmoor
adult,Recommend explicit Gay porn video content
radio_drama,Explore The Tiger Yussef and play it on DergiPark 
cartoon,What are some good Dennis la peste series to watch
movie,Play The Last Right from Astoria in the cabaret film category on Peerflix with Floella Benjamin
bw_movie,watch a black and white masterpiece
series,Suggest a series with strong character development on BBC Select 
adult,Explore explicit sissy porn films
documentary,Start playing Exploration from Greenstone 
music,Let's listen to the Mi Amor album from Assassin on YouTube Music 
music,Start a cherished track
music,Did you catch The Emperors 's latest track, Ah gars , from the album Suburban Field Recordings: Volume One 
game,let's crush it in Space Pirates And Zombies 2 on Video Spiel TG-621 game mode activated
music,Dong Abay 's music, especially the song Malagaan (Clubmix) , has been on repeat for me
hentai,Play Angel Blade material
hentai,Search for adult Dragon Pink shows on Hentai Moon 
documentary,Immerse yourself in National Geographic 's Biography collection
tv_channel,Watch Dijlah TV live stream
video,Watch the newest horror content from Wilderness Cooking 
cartoon,Recommend Mesterdetektiven Sherlock Gnomes episodes on Nicktoons 
music,play a song with a great beat
bw_movie,I want to watch Jour de marche a Trouville on Prime Fight Play and start playback
movie,Could you find a movie starring Gian Rupf in the religious thriller genre on DC Universe for me, dear
news,Play the news from Ecuador on RT News Stream 
comic,play a story with visuals
audiobook,Enjoy the soothing narration of a classic tale in audiobook recording format
series,Start the latest season of Summer Night Theater on NASA+ 
hentai,Search for adult-oriented anime content
movie,Begin the film Student Life in Merry Springtime featuring Angelique Pettyjohn on Apple TV+
audiobook,List audiobook recordings on Podiobooks in the oral history book category
documentary,Play procedural on Missouri Hub and tell me more about it
movie,Start the movie marathon with Ashok Samrat starring Dick Van Dyke on Roku Channel 
series,Watch the latest special release of Chirurdzy on Stremium 
news,play news highlights
documentary,start a wildlife documentary
trailer,start the trailer for the latest action movie
music,play a song for a rainy evening
game,How about we unwind with Bamerang on Sport King Model-101 after a long day
podcast,Inform me about Beyond The Fallout on Mazovian Digital Library and suggest something
trailer,play the teaser for a heartwarming film
movie,I want to watch a movie from Cinecom Pictures 
music,Create a Summer Party with If I Call and If I Call on FLO 
movie,Watch Oscar Wilde from Mayfly on tabii, and make it fast
adult,show me mature material
bts,Find and play behind-the-scenes content for Bhikharan on Google Play Movies & TV 
music,I like the versatility of Wraith of the Ropes 's music, especially in Ritmebox 
adult,start something for grown-ups
video,Find the best Fox Nation channels known for their challenge videos
radio,play radio broadcast
series,Can you play the special episodes of Headspace Guide to Sleep from the beginning on Okko 
movie,I've been watching movies longer than you've been alive; just play The Pirates of Somalia on DC Universe
music,Begin a playlist with Mystic Circle 's best songs
movie,watch pornographic film film
movie,Start streaming the movie directed by Stefan Buhling on Mubi
video,Look for stand-up comedy performances on Rutube 
silent_movie,begin a black and white silent cinematic gem
documentary,Recommend an eye-opening biographical work documentary on Disney+ 
news,play news flash series
adult,start a mature scene
game,What are your thoughts on playing air hockey video game right now
audiobook,Play a book from Armenia 
music,Can you cue up the music score for the movie directed by Fabio Golombek on QQ Music
podcast,start podcasts on spirituality
tv_channel,Check the schedule for Showcase Movies on Baram Pictures 
bw_movie,Queue up a classic black and white movie on the smart speaker
music,start playing my favorite music
audiobook,play a historical fiction audiobook recordings
radio,start hardstyle internet radio
documentary,I recommend checking out Music 
audio,Start a session of ambient noise 
audiobook,Play a random werewolf literature from OverDrive 
short_film,show me a short film under 1 hour
music,play Mainstream 1958
documentary,start a travel documentary
anime,Watch Macross Delta the Movie: Passionate Walkure on Epoch TV and initiate playback
movie,Give me information about a movie from Brazil 
music,Play Kicks Of Ike Turner 's For the Elements on KakaoMusic , and make sure to play the song WestSideGunn Day 
podcast,Tell me about the creators behind The Doug Stanhope Podcast on Goodpods 
bw_movie,I'm in the mood for a vintage grayscale film on the home theater system
bw_movie,Start streaming a vintage The Moon Has Risen on the living room TV
audiobook,Can you suggest an book reading on Penguin Audio in the Tolgau genre
audiobook,Tell me about book reading on Bookmate in the hanashibon category
podcast,show me podcasts on food and cooking
cartoon,Recommend a cartoon with Ecchi elements
video,play videos from GhostNinja
bts,Let's play behind-the-scenes videos for the movie Mark of the Phoenix on Namava 
game,Let's start the gaming night with gaming content on Hyperkin Retron Ult 
movie,Play a Multi-protagonist film film titled Erotic Nights of the Living Dead from Two 4 the Money Media on Peacock 
adult_asmr,Find alt porn erotic ASMR audio on 3Movs 
audiobook,play an audiobooks on art
movie,show me a documentary about movies
movie,What's playing on Disney+ right now
radio_drama,Inform me about Elmo, urheilija
music,Play a random tune from your selection
movie,find me a movie in the Mexploitation category that's popular on Showtime 
short_film,show me a short and sweet cinematic experience
radio,Search for live on-air content to start the day
movie,Fire up the movie A Man Must Live directed by Hollando-Belgica Film Mij. Eureka on Sling TV 
series,Tell me about the characters' development in O Coracao nao Envelhece on Zappn 
music,Shuffle the playlist and play a song
movie,Begin The Age of Change on the home theater speakers
adult,search Deviant Kade rape pornography in Porn555
radio_drama,List Black and White and play something for me
movie,find me a movie that's trending on Amazon Prime Video 
movie,Start streaming Our Mrs. McChesney from Milestone Films on Youtube Movies
music,start a playlist with summer vibes
movie,Can you play a fun Romance movie for kids on Netflix
movie,play a movie with a feel good storyline and a surprising ending on M-CAS 
bts,play behind the scenes of Avengers: Endgame
adult_asmr,Play ASMR sex audio on Bareback Studios 
movie,I want to watch a movie starring Claus Hofer known for their brilliant performances on Vimeo On Demand
movie,Start a film with Vihtori Valimaki having funny adventures on Vimeo On Demand
movie,Can you start a film on Vudu from the Industrial video selection
movie,Play a classic film movie for kids from Rapid Eye Movies on Moviechi 
video,start a video on mental health
movie,Play that charming movie White Lies, Black Lies on Vimeo On Demand from Marketing and Publicity (MP) Agency
podcast,start a gardening podcast
music,Recommend a Palestinian hip hop playlist for a workout on Audius from Astor Records 
comic,play a narrative-driven experience
documentary,start a documentary on social justice
movie,Find The Rocking Horse Winner within the collection on CuriosityStream 
video,show me animated videos
music,Put on the groovy When Love is New on Bandcamp
hentai,Play adult anime - I'm in the mood
movie,Why can't I find Scavengers from Vertigo Entertainment in the alien invasion film category on Starz
comic,show me a visual novel with story
silent_movie,Dive into the era of silent storytelling with a film
music,Start a playlist with Darcia Narvaez 's greatest hits
radio_drama,Any new audio dramas available on Audible 
trailer,start the trailer for a feel-good movie
cartoon,Find an Kryptonim: Klan na drzewie: Operacja Z.E.R.O. to watch on Netflix 
music,Play something from your selection
movie,find me a movie from Sacher Film with stunning visuals and an unexpected plot twist that's currently popular on Quibi 
audio,play audio drama
bw_movie,I want to watch Faust et Marguerite
series,Play a special episode of Yorgun Savasci on Petra Belas Artes a La Carte 
anime,Play an episode of Aquatic Language on VIZ Media 
documentary,Look for Beyonce: Baby and Beyond on UMB Digital Archive and start playback
hentai,start Boku no Pico
comic,Dive into a world of visually captivating narratives
movie,Play a random movie for me
podcast,I love to discover new things, recommend LGBTQ&A 
movie,Google, recommend a movie with good reviews on Viddsee 
music,Play Leave my planet from Black Clouds Over Dark Majesty by Drew Seeley on Audius 
documentary,List documentaries currently streaming on Crave 
audio,What's the latest on educational audio recording 
movie,I'd love to watch The Most on HBO Max with Western Movie Group's touch
news,Play the news from our area on TuneIn Radio 
audio,Find and start relaxing sounds 
movie,Can you start Imprisoned: Survival Guide for Rich and Prodigal directed by Thanh Hoang on Peacock
music,Start a hit single
cartoon,What's a trending How the Cossacks Rescued Brides series that I can watch on Cartoonito 
music,Play the Basta latarna album, and specifically the song Symphony No. 5 in C Minor, Op. 67: II. Andante con moto by Ruby Throat 
news,Give me the rundown on local news from RT News Stream 
radio,I'm in the mood for music; play internet radio 
radio_drama,Unfold the narratives of The Kingdom of the Blind on Mixcloud 
silent_movie,watch a movie without dialogue
movie,I'm in the mood for a movie, how about watching something from Zespol Filmowy Studio in the rockumentary category
documentary,    Begin a documentary marathon for a documentary film festival at home
movie,Explore movie options in the Ostern category on Moviechi 
podcast,Explore Breaker for blogcast podcasts
cartoon,start a classic animated film
silent_movie,Play a classic silent movie from Jour de marche a Trouville 
bts,Search for filmmaking details and let's enjoy it
music,Surprise me with an unheard track
comic,Begin the streaming of the motion comic called My Hero Academia in the Tarzanesque category on Marvel Unlimited 
bts,Let's start CBS All Access for behind-the-scenes of Venjanca a la preso 
music,Look for tracks in greatest hits 
video,start a movie
movie,watch a movie that will give me chills
radio,start electronic music radio
radio_drama,Play the latest The Uncertainty Principle on Castbox 
hentai,start hentai films
audio,start footsteps on wooden deck
music,Provide the score for the movie Billy Budd on KakaoMusic 
short_film,watch a quick and entertaining movie
cartoon,watch a cartoon with memorable characters
game,initiate Star Trek: Starfleet Command - Orion Pirates on TVG-201 game face on
podcast,show me podcasts on science fiction
audio,play ticking clock
hentai,Tell me about Mayohiga no Oneesan available on Open Library and start playback
music,Play a tune I've yet to encounter
silent_movie,I want to explore silent movies from Maldives play them on Roku Channel 
radio_drama,Show me war radio play on Lowcountry Digital Library and suggest something similar
movie,Can you start a movie directed by Paula Delsol? How about Confidential (film 1935) on Youtube TV
movie,suggest a movie from Momentum Pictures with an unexpected plot twist that's currently popular on Hulu 
news,Play the current Trending news report on CNN Live 
radio_drama,Find The Outer Limit on SoundCloud for me
comic,start an immersive visual journey with story
podcast,List In the Dark on Virtual Manuscript Room and play something for me
hentai,Play Vanilla Series from War Diaries
movie,Initiate the viewing of Our Trip to Africa from Pegas Productions on Paramount+ 
silent_movie,Find a Pinky Violence silent film on Kemi adetiba visuals and play it
series,I want to catch up on Maat Pitaah Ke Charnon Mein Swarg what's the last episode on X 
movie,start a film with great cinematography
ad,Provide audio description for El principe estudiante on Shudder 
movie,Start watching the movie series
silent_movie,Any recommendations for a great silent film 
ad,What's the audio narrative for Non siamo angeli like on Hoopla
music,Choose a O S T I've never explored
documentary,List documentaries that have received acclaim on Discovery+ 
music,start a rustic stomp
movie,Initiate the screening of Captivity on Vimeo On Demand from Gainsborough Pictures
radio,play radio news station
silent_movie,begin a black and white silent film adventure
news,what's the economic news
bw_movie,Launch a vintage Faust et Marguerite in black and white in the bedroom
music,Play Ultralight Beam by Coki Debernardi from the album I Don't Mind the Buzzcocks on napster 
news,Give me the latest news update from Reveal in Finland on France 24 Live 
music,Fire up a song
audio,Begin sounds streaming
video,I'm curious about videos discussing time management strategies; find some on Myfidelio 
podcast,Inform me about performing arts podcast
game,Play gaming session for some gaming fun
podcast,Inform me about Cover-Up on Oxford Reference and recommend something
game,Find the best gaming session on Interton Video 3001 
silent_movie,Play a Landismo silent film in the laundry room on the smart screen
movie,What's a highly recommended movie from Estinfilm on Peacock 
music,Have you checked out Hit My Phone by Frantisek Brestovansky on Wynk Music ? It's fantastic
audio,start footsteps on grass
movie,Start watching cinematic content 
radio_drama,Any good radio dramas playing on Spotify 
hentai,Tell me about Fencer of Minerva available on Nashriyah and suggest something
movie,What's a top rated Guy-cry film movie, such as Vasten seinaa , on the projector
music,Shuffle my Metallum playlist on Melon 
bw_movie,Watch Jour de marche a Trouville on Petra Belas Artes a La Carte
music,Give me the soundtrack of a movie in the triphops genre directed by Samuel Lajus 
news,Keep me updated with the latest Optimal public health headlines
podcast,play podcasts on global affairs
news,Turn on DuMont Evening News news
audio,Search for sermon audio recording on Women Poets of the Romantic Period (University of Colorado Boulder Libraries)
anime,I want to start watching Record of Lodoss War in Parody on Muse Asia 
series,Find me a captivating series on Floatplane 
news,I want to hear the news update from Shishi in Slovenia on BBC News App 
documentary,Suggest something similar to Eurogames on Brock University Digital Repository and start playing
short_film,start a brief film
movie,show me an Oscar winning movie
game,Let's play some TheMemory on RetroN what do you say
movie,What's a good Kulturfilm movie with Dov Tiefenbach that I can enjoy on Crave
news,Play South East Today on Apple News 
bts,Explore behind-the-scenes features of The Perfect Kiss on Hulu 
